CASE_LBL,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,GP_YEAR,CWPP_YEAR,HMP_YEAR,GTheme1,GTheme2,GTheme3,GTheme4,GThemeTIME,GOVERALL,WFA_SUM,WFA_GP,WFA_CWPP,WFA_HMP,WSVI_SUM,WSVI_GP,WSVI_CWPP,WSVI_HMP,GP_TOTAL_P,CWPP_TOTAL_P,HMP_TOTAL_P,THREEPLANS_TOTAL,FIPS_ID,LU_SUM,CIR_SUM,HS_SUM,CSV_SUM,OS_SUM,SFT_SUM,EJ_SUM,K_9.1,GP_TOTAL,CTX_SUM,CLB_SUM,FR_SUM,SI_SUM,STIM_SUM,ME_SUM,VP_SUM,OA_SUM,CWPP_TOTAL,A_SUM,B_SUM,C_SUM,D_SUM,E_SUM,F_SUM,K_7.1_A,HMP_TOTAL,WFIR_RISKS,MEAN_WHP,ExpectedAnnualHUExposed,ExpectedAnnualRelativeHURisk,WHPContinuousMean,WHPClassMean
SAN_LUIS_OBISPO_40,.1228,.2632,.0526,.2982,.3333,2010,2019,2019,5,4,3,4,4,4,.64,.54,.67,.72,.35,.49,0,.56,.72,.64,.95,.77,79,3,4,8,7,1,17,2.5,2,44.5,5,4,6,3,13.47,5,0,3,39.47,8.98,15,14,9,8,2,2,58.98,97.80464524,259,183.35,8922,2265,2.8151
SAN_MATEO_41,.0702,.0351,.0351,.7018,.3509,1986,2018,2021,1,1,1,4,4,1,.51,.37,.45,.71,.36,.51,0,.56,.42,.53,.95,.63,81,2,4,4,4,1,8,1,2,26,4,3,6,5,9.07,3,0,3,33.07,9.98,13,14,10,8,2,2,58.98,91.79128221,172,35.12,1826,188,1.8996
SANTA_BARBARA_42,.807,.614,.5439,.5965,.9825,2014,2005,2023,5,3,3,1,1,3,.55,.45,.44,.74,.37,.54,0,.56,.6,.41,.98,.66,83,3,3,3,7,1,15,4,1,37,5,3,2.5,2,6.82,4,0,0,23.32,9.98,16,14,9,8,2,2,60.98,99.52274897,201,170.39,8672,3098,3.1884
SANTA_CLARA_43,.2105,.0526,.0877,.8596,.6491,1994,2016,2017,5,4,3,4,3,3,.62,.49,.78,.6,.44,.49,.28,.56,.64,.85,.89,.79,85,4,4,7,5,1,16,1.5,1,39.5,7,4.5,5,6,15.05,8,2,5,52.55,9.98,14,12,9,6,2,2,54.98,96.91377665,254,173.27,8041,1112,2.8074
SANTA_CRUZ_44,.4035,.2807,.193,.4386,.8246,1994,2018,2021,3,3,2,3,3,3,.49,.42,.45,.59,.21,.34,0,.28,.47,.53,.87,.62,87,4,3,5,5,0,10,1,1,29,4,3,6,5,9.07,3,0,3,33.07,9.98,11,13,9,6,2,1,51.98,97.6773783,345,95.14,4847,386,2.7479
SHASTA_45,.4737,.4561,.6667,.1053,.4737, ,2016,2023,4,5,2,4,4,4,.6,.49,.68,.61,.19,.58,0,0,.61,.6,.9,.71,89,1,4,5,6,0,16,4,2,38,7,3,5,3,13.39,3,0,3,37.39,9.98,14,13,9,8,2,0,55.98,99.14094814,573,210.57,10506,3521,3.6646
SIERRA_46,.1404,.3684,.4737,0,.0526,2012,2014,2012,5,3,1,2,2,2,.61,.42,.81,.58,.28,.27,0,.56,.52,.73,.78,.67,91,1,3,5,6,1,13,2,1,32,7,5,5,5,15.05,6,0,2,45.05,8.32,12,12,7,5,2,2,48.32,92.07763283,1774,10,596,5247,4.1204
SISKIYOU_47,.4561,.5263,.4211,.193,.2456,1988,2019,2019,1,3,3,3,3,1,.6,.2,.84,.75,.31,.21,.17,.56,.24,.73,1,.66,93,1,2,3,2,0,5,1,1,15,6,4.5,5.5,4,15.3,4,1,5,45.3,9.98,16,14,10,8,2,2,61.98,98.05917913,1127,80.37,4629,2007,3.2403
SOLANO_48,.386,.2456,.6316,.7193,.3158,2008, ,2012,1,1,2,2,2,2,.29,.49,0,.37,.1,.3,0,0,.63,0,.7,.44,95,3,4,7,6,0,16,2,1,39, , , , , , , , , ,9.65,11,9,7,5,2,0,43.65,88.06872415,123,48.7,2193,257,1.823
SONOMA_49,.193,.2105,.2632,.386,.2807,2008,2022,2021,3,1,4,5,5,4,.59,.31,.98,.49,.48,.11,.78,.56,.47,.94,.73,.71,97,2,4,1,4,1,15,1,1,29,8,4.5,6,6,16.71,5,6,6,58.21,9.98,14,7,9,1,2,2,44.98,98.75914731,413,167.6,9376,485,2.6193
STANISLAUS_50,.7193,.7368,.8246,.6491,.2982,2015, ,2022,1,2,1,1,3,1,.35,.34,0,.73,.31,.38,0,.56,.41,0,.97,.46,99,1,3,5,4,1,9,1.5,1,25.5, , , , , , , , , ,9.98,15,14,9,8,2,2,59.98,94.49570474,93,48.68,1938,704,2.5278
SUTTER_51,.7018,.6316,.8596,.5439,.386,2011, ,2015,1,2,2,1,1,1,.34,.32,0,.7,.29,.32,0,.56,.36,0,.92,.43,101,1,2,6,2,0,10,.5,1,22.5, , , , , , , , , ,7.98,15,14,9,7,2,2,56.98,66.71969456,122,11.35,424,401,1.2939
TEHAMA_52,.7544,.7895,.8596,.3158,.4912,2009,2017,2018,3,3,2,4,4,4,.53,.47,.41,.7,.32,.4,0,.56,.57,.52,.9,.67,103,3,4,4,5,1,16,1.5,1,35.5,5,3,4,2,9.23,7,0,2,32.23,8.98,13,13,9,8,2,2,55.98,97.74101177,381,73.07,3588,3708,3.601
TRINITY_53,.614,.7719,.7193,.0526,.5789,2002,2020,2016,5,3,2,3,3,3,.5,.53,.5,.46,.27,.54,0,.28,.65,.54,.73,.64,105,1,4,6,7,0,17,4,1,40,4,4,4,4,10.32,4,0,3,33.32,9.98,12,10,6,4,2,1,44.98,96.88195991,1520,62.85,3339,4409,3.732
TULARE_54,.9298,1,.8947,.9298,.4561,2012,2010,2018,5,4,3,1,1,3,.58,.53,.56,.65,.34,.48,0,.56,.69,.49,.87,.68,107,1,4,8,5,1,19,3.5,1,42.5,6,3.5,5,4,10.06,1,0,1,30.56,9.98,12,13,9,6,2,2,53.98,97.55011136,217,109.32,5130,1403,2.649
TUOLUMNE_55,.3333,.4386,.2982,.0877,.5439,2018,2004,2018,1,3,3,3,4,4,.53,.52,.55,.52,.36,.51,0,.56,.65,.54,.73,.64,109,2,4,5,6,1,17,4,1,40,5,3.5,4,4,8.74,5,0,3,33.24,9.98,9,11,8,3,2,2,44.98,99.49093223,2208,135.82,9105,2097,3.1884
VENTURA_56,.4386,.4035,.4912,.5614,.2281,2020,2010,2022,3,3,5,4,4,4,.61,.57,.61,.66,.57,.6,.56,.56,.73,.56,.95,.75,111,4,4,6,6,1,20,3.5,1,45.5,3,3.5,4,5,9.23,5,4,1,34.73,9.98,16,12,10,7,2,2,58.98,99.80909959,252,592.11,29498,3006,2.8118
YOLO_57,.4912,.3684,.1053,.5263,.9123,2009,2023,2018,5,3,5,1,4,4,.55,.47,.54,.62,.51,.69,.28,.56,.63,.59,.84,.69,113,3,3,7,5,1,14,5,1,39,7,3,5,4,10.73,2,2,3,36.73,8.98,12,10,9,8,2,2,51.98,80.52815781,53,12.99,519,633,1.7481
YUBA_58,.7368,.7018,.7018,.4561,.614,2011,2022,2021,5,5,3,4,4,4,.65,.46,.81,.68,.31,.36,0,.56,.59,.8,.95,.78,115,2,4,5,4,0,19,1.5,1,36.5,8,4.5,5,5,14.96,6,0,6,49.46,9.98,15,12,10,8,2,2,58.98,94.87750557,367,37.28,2021,3085,3.1355
